Sexo:,Edad ,Provincia de  Origen,Ciudad de origen,El lugar donde vivia era: ,Su colegio era ,¿Sus estudios de tercer nivel fueron?,¿Cua¡l es su ultimo nivel de estudio culminado? (con o sin beca Senescyt),¿Qua© estudios cubrio su beca Senescyt?  (por favor seleccione todos los niveles financiados),Pias en donde realizo sus estudios cubiertos por la beca Senescyt del mayor grado financiado:,¿Cua¡l es su a¡rea de especializacion?,Año de convocatoria (mayor grado),Programa de beca financiado (mayor grado),¿Cua¡l es el ultimo nivel de estudios culminado de su padre?,¿Cua¡l es el ultimo nivel de estudios culminado de su madre?,¿Cua¡l es el ultimo nivel de estudios culminado de su madre? [Feedback],¿Cua¡l es su situacion actual?,Provincia actual de Residencia,Ciudad  actual de residencia,El lugar donde reside actualmente es:,Año de retorno,¿Cua¡ntos meses le tomo encontrar su primer empleo en Ecuador desde que retorno al Ecuador?,"En una escala del 1 al 5, ¿qua© tanto utilizaba sus habilidades adquiridas en sus estudios en este primer empleo en Ecuador?",¿Cua¡ntos  de experiencia previa relevante tenia antes de encontrar este empleo?,¿Como se siente en su trabajo?,"Comparado a cuando comenzo su actual empleo, sus habilidades han: ",¿Esta¡ en sus planes trabajar en el exterior una vez terminada la compensacion?,"Si tuviera una oportunidad laboral similar en el exterior y una en Ecuador, ¿qua© preferiria? y ¿por qua©?",¿Tiene algun tra¡mite actualmente que no haya sido respondido por Senescyt? ,"Si tiene algun tra¡mite actualmente que no haya sido respondido por Senescyt, Explique, por favor cua¡l. ",¿Ha sido notificado con la terminacion unilateral del contrato?  ,"Si Senescyt decidiese terminar su contrato de manera unilateral, ¿estaria usted y su familia en condiciones de devolver los costos de su beca?",Tiene temor que Senescyt le notifique por Terminacion Unilateral de Contrato,¿Ha tenido algun problema adicional que no se haya contemplado en esta encuesta?
Femenino,De 30 a 34 ,Pichincha,Quito,Urbano,Publico,En Ecuador en una universidad privada,Maestria,Maestria,Spain,Salud,2015,Globo Comun,Maestria,Maestria,,Becario retornado,Pichincha,Quito,Urbano,2016,0-2 meses,2,De 5 a 10 ,,,No sa© aun,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos;Preferiria trabajar en el exterior por razones externas al trabajo,Si,"En el 2017 que acudi a realizar los tra¡mites correspondientes para la liquidacion, me dijeron que debido a una solicitud que realizamos algunos becarios para que nos modifiquen el presupuesto y que fue aprobado, debia solicitar la modificacion o actualizacion de mi contrato, procedi a realizar la solicitud para tal proposito, pasa© 2  pidiendo que den paso a mi tra¡mite (sin ningina respuesta) hasta que en el 2019 finalmente me hicieron la modificacion del contrato. Acudi nuevamente para proceder con la liquidacion y oh sorpresa nuevamente me dijeron que debia modificar el contrato porque el titulo que presenta© no tenia exactamente el nombre que constaba en el contrato (la beca que recibi fue para hacer una Maestria en Salud Publica y mi titulo dice: Ma¡ster Universitario en Salud Publica. Especialidad en Medicina preventiva), le expliqua© al la analista que ya habia pasado ma¡s dos  esperando una modificacion como para que recia©n a esaa alturas me digan que debia hacer otra modificacion...., y me dijo que ella no podia hacer nada y que simplemente debia ingresar una nueva solicitud. Lo hice y hasta el dia de hoy no he recibido ninguna respuesta o aviso sobre mi tra¡mite. Cabe mencionar que ya he terminado mi tiempo de compensacion sin ningun inconveniente. ",No,No,No,Lo expuesto en la pregunta de tra¡mite pendiente. 
Femenino,De 25 a 29 ,Pichincha,Quito,Urbano,Privado,En Ecuador en una universidad privada,Maestria,Maestria,Spain,Arquitectura y construccion,2017,Convocatoria abierta,Secundaria,Pregrado - tercer nivel,,Becario retornado,Pichincha,Quito,Urbano,2020,3-6 meses,4,De 1 a 3 ,Contento(a);Descontento(a) por ingresos bajos,aumentado,No sa© aun,Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores,Si,"Modificacion de contrato de beca, y Liquidacion de contrato",No,No,No,
Femenino,De 18 a 24 ,Pichincha,Quito,Urbano,Privado,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,Canada,Educacion comercial y administracion,2015,Excelencia,Secundaria,Secundaria,,Becario retornado,Pichincha,Quito,Urbano,2020,0-2 meses,3,Menos de 1 año,Contento(a),aumentado,Si,Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,Liquidacion de mi beca.,No,No,"Si, porque no encontra© trabajo en el plazo establecido",
Masculino,De 35 a 39 ,Azuay,Paute,Urbano,Publico,En Ecuador en una universidad publica,Maestria,Maestria,United Kingdom,Ingenieria y profesiones afines,2014,Convocatoria abierta,No culmino la primaria,No culmino la primaria,,Becario retornado,Azuay,Paute,Urbano,2018,Todavia no consigue empleo,2,De 5 a 10 ,,,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor,No,,No,No,"Si, porque no encontra© trabajo en el plazo establecido",En Ecuador hay mucha corrupcion y no hay trabajo
Masculino,De 30 a 34 ,Pichincha,Quito,Urbano,Publico,En Ecuador en una universidad privada,Maestria,Maestria,Spain,Artes,2012,Convocatoria abierta,Secundaria,Pregrado - tercer nivel,,Becario retornado,Pichincha,Quito,Urbano,2015,10-12 meses,3,De 3 a 5 ,Contento(a),aumentado,Si,Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,Finalizar el contrato de beca por culminacion de compensacion,No,No,No,
Femenino,De 30 a 34 ,Tungurahua,Ambato,Urbano,Publico,En Ecuador en una universidad publica,Maestria,Maestria,Russia,Tecnologias de la informacion y la comunicacion,2013,Cooperacion,Primaria,Primaria,,Becario retornado,Tungurahua,Ambato,Urbano,2016,+12 meses,2,De 1 a 3 ,Contento(a),aumentado,No sa© aun,Preferiria trabajar en el exterior por razones externas al trabajo,Si,Modificacion del contrato,No,No,"Si, porque no encontra© trabajo en el plazo establecido",
Masculino,De 30 a 34 ,Pichincha,Quito,Urbano,Privado,En Ecuador en una universidad privada,Maestria,Maestria,Hungary,Otro,2016,Cooperacion,Primaria,Secundaria,,Becario retornado,Pichincha,Quito,Urbano,2018,3-6 meses,4,De 3 a 5 ,Contento(a);Descontento(a) por sobrecarga de trabajo,aumentado,No sa© aun,Me quedaria en el Ecuador,Si,Liquidacion,No,No,"SI, porque no regresa© en el plazo establecido","Pa©rdida de documentos en el IFTH, no se atiende a mi solicitud de liquidacion, etc"
Femenino,De 30 a 34 ,Pichincha,Quito,Urbano,Privado,En Ecuador en una universidad privada,Maestria,Maestria,Netherlands,Otro,2013,Convocatoria abierta,Maestria,Pregrado - tercer nivel,,Becario retornado,Guayas,Guayaquil,Urbano,2017,3-6 meses,4,De 3 a 5 ,Contento(a),aumentado,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos;Preferiria trabajar en el exterior por razones externas al trabajo,No,,No,No,No,
Masculino,De 25 a 29 ,Manabi,Portoviejo,Urbano,Publico,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,Russia,Ciencias biologicas y afines,2012,Convocatoria abierta,Secundaria,Primaria,,Becario retornado,Manabi,Portoviejo,Urbano,2017,7-9 meses,2,No tenia experiencia,,,Si,Me quedaria en el Ecuador;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,"Revisar mi periodo de compensacion, lo cual son 2  y no 4 , hacerme la liquidacion de la beca, recibir mi acta de finiquito y volverme un ex-becario. Ya no quiero seguir preocupado de que no tengo como compensar mi beca sin un trabajo fijo y despua©s me quieran cobrar el dinero solo porque no trabajo todos los meses. No es mi culpa que no consiga trabajo en mi pias hago todo cuanto puedo para compensar mi beca pero no tengo buenos resultados. ",No,No,"Si, porque no encontra© trabajo en el plazo establecido",No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Femenino,De 25 a 29 ,Azuay,Cuenca,Urbano,Privado,En Ecuador en una universidad privada,Maestria,Maestria,Australia,Ciencias sociales y del comportamiento,2013,Excelencia,Pregrado - tercer nivel,Secundaria,,Becario retornado,Azuay,Cuenca,Urbano,2016,0-2 meses,5,Menos de 1 año,Contento(a);Descontento(a) por no tener estabilidad;Descontento(a) por pocas posibilidades de progreso,aumentado,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,"Termina© mi compensacion, pero el proceso de finiquito se detuvo. No tengo noticias.",No,No,No,No. 
Masculino,De 40 a 50 ,Pichincha,Quito,Urbano,Privado,En Ecuador en una universidad publica,Doctorado - PhD,Doctorado PhD;Maestria,Spain,Ciencias sociales y del comportamiento,2011,Convocatoria abierta,Primaria,Secundaria,,Becario retornado,Pichincha,Quito,Urbano,2015,0-2 meses,3,Ma¡s de 10 ,Descontento(a) por las activ. que realiza,disminuido,No sa© aun,Me quedaria en el Ecuador,Si,Liquidacion de beca,No,No,No,No
Femenino,De 25 a 29 ,Pichincha,Quito,Urbano,Privado,En Ecuador en una universidad privada,Maestria,Maestria,United Kingdom,Periodismo e informacion,2017,Excelencia,Doctorado PhD,Pregrado - tercer nivel,,Becario retornado,Pichincha,Quito,Urbano,2019,0-2 meses,3,De 1 a 3 ,Contento(a);Descontento(a) por pocas posibilidades de progreso,aumentado,Si,Preferiria trabajar en el exterior por razones externas al trabajo,Si,Liquidacion hace ma¡s de 15 meses,No,No,No,Es imposible tener contacto con los analistas. Cambian a cada momento y con la suspension del IFTH es aun ma¡s improbable concretar la liquidacion. En 5 meses acabara© de devengar y sigo sin liquidar.
Masculino,De 35 a 39 ,Pichincha,Quito,Urbano,Privado,En Ecuador en una universidad privada,Posdoctorado,Doctorado PhD;Maestria,Spain,Tecnologias de la informacion y la comunicacion,2011,Convocatoria abierta,Maestria,Pregrado - tercer nivel,,Becario retornado,Pichincha,Quito,Urbano,2017,0-2 meses,5,Ma¡s de 10 ,Muy contento(a),aumentado,Si,Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,LIQUIDACIa“N Y COMPENSACIa“N,No,No,No,NO
Masculino,De 35 a 39 ,Imbabura,Ibarra,Urbano,Fiscomisional,En Ecuador en una universidad privada,Doctorado - PhD,Doctorado PhD,Spain,Ciencias biologicas y afines,2013,Convocatoria abierta,Pregrado - tercer nivel,Secundaria,,Becario retornado,Imbabura,Ibarra,Urbano,2018,10-12 meses,2,Menos de 1 año,Descontento(a) por muchas horas de trabajo;Descontento(a) por sobrecarga de trabajo;Descontento(a) por no tener estabilidad,permanecido iguales,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,No,,No,No,No,
Femenino,De 30 a 34 ,Pichincha,Quito,Urbano,Publico,En Ecuador en una universidad publica,Maestria,Maestria,Spain,Ingenieria y profesiones afines,2018,Convocatoria abierta,Pregrado - tercer nivel,Pregrado - tercer nivel,,Becario retornado,Pichincha,Quito,Urbano,2020,3-6 meses,2,De 1 a 3 ,Descontento(a) por ingresos bajos,permanecido iguales,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,Necesito realizar la liquidacion de mi beca ,No,No,No,
Masculino,De 30 a 34 ,Pichincha,Quito,Urbano,Publico,En Ecuador en una universidad privada,Maestria,Maestria,United Kingdom,Artes,2014,Convocatoria abierta,Especialidades ma©dicas,Especialidades ma©dicas,,Becario retornado,Pichincha,Quito,Urbano,2017,3-6 meses,3,De 5 a 10 ,Descontento(a) por ingresos bajos;Descontento(a) por no tener estabilidad;Descontento(a) por pocas posibilidades de progreso,aumentado,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,No,,Si,No,"Si, porque no encontra© trabajo en el plazo establecido","Sobre la pregunta anterior, he sentido temor sobre la terminacion unilateral de contrato porque mi trabajo es informal y durante todo este tiempo exclusivamente por facturacion."
Femenino,De 18 a 24 ,Pichincha,Quito,Urbano,Publico,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,United Kingdom,Humanidades,2013,Excelencia,Secundaria,Maestria,,Becario retornado,Pichincha,Quito,Urbano,2018,0-2 meses,3,No tenia experiencia,Descontento(a) por ingresos bajos;Descontento(a) por muchas horas de trabajo;Descontento(a) por sobrecarga de trabajo,aumentado,Si,Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores,Si,Liquidacion,No,No,"Si, porque sali ma¡s de 30 dias al año del pias",Regresa© en el 2018 y aun no me hacen la liquidacion. Dicen que primero tienen que hacer cambio de contrato pero ya van dos  en ese proceso y aun no he recibido siquiera aprobacion del cambio de contrato.
Masculino,De 30 a 34 ,Pichincha,Pichincha,Urbano,Privado,En Ecuador en una universidad privada,Maestria,Maestria,Spain,Industria y produccion,2011,Convocatoria abierta,Secundaria,Secundaria,,Becario retornado,Pichincha,Quito,Urbano,2013,3-6 meses,5,De 1 a 3 ,Descontento(a) por no tener estabilidad,aumentado,No sa© aun,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,"Me mencionaron en el mes de abril que pronto recibiria mi acta de finiquito, misma que no la he recibo, me indicaron que debo seguir esperando. ",No,No,"Si, porque no encontra© trabajo en el plazo establecido",
Masculino,De 25 a 29 ,Guayas,Guayaquil,Urbano,Privado,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,Canada,Ingenieria y profesiones afines,2019,Excelencia,Pregrado - tercer nivel,Pregrado - tercer nivel,,Becario retornado,Guayas,Guayaquil,Urbano,2019,3-6 meses,3,De 1 a 3 ,Descontento(a) por ingresos bajos;Descontento(a) por pocas posibilidades de progreso,aumentado,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,"En realidad, el IFTH, pero como el Senescyt asumio sus competencias, asumo que compete decirlo: Me enviaron un informe de preliquidacion, pero no se me dio la oportunidad de hacer mis descargos, yo trabajo en una mina, pero por mas que envia© correos y me acerque personalmente no atendieron mi requerimientos. Me llegaron dos notificaciones a mi correo electronico de Quipux indica¡ndome que tenia que realizar los pagos dentro de 6 meses. Los montos que calculo el IFTH no son correctos, no consideran seguro de vida que eran parte de la colegiatura (pago obligatorio), ni tampoco pasajes de regreso. Es aceptable que se equivoque, pero me parece hasta negligente que no me dejaran explicar mi situacion, y que inmediatamente pasen a cobrarme.",No,No,No,"Si, en la anterior pregunta, aunque puse No como respuesta, pero en realidad, yo siento temor que  Senescyt me notifique por Terminacion Unilateral de Contrato porque no he realizado los pagos que me dispuso el IFTH en mi pre-liquidacion. "
Masculino,De 30 a 34 ,Pichincha,Quito,Urbano,Privado,En Ecuador en una universidad privada,Maestria,Maestria,United Kingdom,Derecho,2018,Excelencia,Maestria,Maestria,,Becario retornado,Pichincha,Quito,Urbano,2019,0-2 meses,3,De 3 a 5 ,Descontento(a) por ingresos bajos;Descontento(a) por las activ. que realiza;Descontento(a) por pocas posibilidades de progreso,aumentado,No sa© aun,Me quedaria en el Ecuador,Si,Liquidacion y compensacion.,No,No,No,La dificultad con el tiempo de obtener una respuesta para poder avanzar con los tra¡mites de liquidacion y compensacion. 
Masculino,De 30 a 34 ,Chimborazo,Colta,Urbano,Publico,En el exterior con beca Senescyt,Doctorado - PhD,Doctorado PhD;Pregrado - tercer nivel,Cuba,Veterinaria,2012,Cooperacion,Primaria,No culmino la primaria,,Becario retornado,Chimborazo,Riobamba,Urbano,2018,3-6 meses,5,Menos de 1 año,Descontento(a) por muchas horas de trabajo;Descontento(a) por no tener estabilidad,permanecido iguales,No sa© aun,Me quedaria en el Ecuador,No,,No,No,,
Masculino,De 35 a 39 ,Azuay,Cuenca,Urbano,Privado,En Ecuador en una universidad privada,Maestria,Maestria,Chile,Tecnologias de la informacion y la comunicacion,2016,Convocatoria abierta,Secundaria,Primaria,,Becario retornado,Azuay,Cuenca,Urbano,2020,0-2 meses,3,De 5 a 10 ,Contento(a);Descontento(a) por ingresos bajos,aumentado,No sa© aun,Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,No,,No,No,No,
Femenino,De 35 a 39 ,Azuay,Cuenca,Urbano,Fiscomisional,En Ecuador en una universidad publica,Doctorado - PhD,Doctorado PhD,United Kingdom,Ciencias sociales y del comportamiento,2016,Excelencia,Secundaria,Primaria,,Becario retornado,Azuay,Cuenca,Urbano,2019,0-2 meses,5,De 3 a 5 ,Descontento(a) por no tener estabilidad,permanecido iguales,Si,Me quedaria en el Ecuador,Si,Presenta© mis documentos para liquidacion pero no me responden,No,No,"Si, porque sali ma¡s de 30 dias al año del pias",
Femenino,De 30 a 34 ,Azuay,Cuenca,Urbano,Privado,En Ecuador en una universidad privada,Maestria,Maestria,Spain,Tecnologias de la informacion y la comunicacion,2017,Globo Comun,Secundaria,Secundaria,,Becario retornado,Azuay,Cuenca,Urbano,2017,3-6 meses,5,De 3 a 5 ,Contento(a);Descontento(a) por las activ. que realiza,permanecido iguales,No sa© aun,Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,Liquidacion de Beca,No,No,No,
Femenino,De 30 a 34 ,Pichincha,Quito,Urbano,Privado,En Ecuador en una universidad publica,Especializacion ma©dica,Especialidades ma©dicas,Brazil,Salud,2016,Convocatoria abierta,Especialidades ma©dicas,Pregrado - tercer nivel,,Becario retornado,Pichincha,Quito,Urbano,2019,3-6 meses,2,No tenia experiencia,Descontento(a) por no tener estabilidad,disminuido,No sa© aun,Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,Diferimiento de compensacion ,No,No,"Si, porque sali ma¡s de 30 dias al año del pias",
Masculino,De 35 a 39 ,Pichincha,Quito,Urbano,Fiscomisional,En Ecuador en una universidad publica,Maestria,Doctorado PhD;Maestria,Chile,Ingenieria y profesiones afines,2016,Convocatoria abierta,Secundaria,Secundaria,,Becario todavia cursando los estudios con beca de Senescyt,,,,,,,,,,No sa© aun,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,Impugnacion por solicitud de reajuste de rubro de manutencion. ,No,No,No,
Femenino,De 30 a 34 ,Tungurahua,Ambato,Urbano,Publico,En Ecuador en una universidad publica,Doctorado - PhD,Doctorado PhD;Maestria,Spain,Tecnologias de la informacion y la comunicacion,2013,Convocatoria abierta,Primaria,Secundaria,,Becario retornado,Pichincha,Quito,Urbano,2017,0-2 meses,4,De 1 a 3 ,Contento(a),aumentado,No sa© aun,Me quedaria en el Ecuador,No,,No,Tal vez,No,
Femenino,De 40 a 50 ,Imbabura,Otavalo,Urbano,Privado,En Ecuador en una universidad publica,Maestria,Maestria,United Kingdom,Ingenieria y profesiones afines,2014,Convocatoria abierta,Pregrado - tercer nivel,Pregrado - tercer nivel,,Becario retornado,Imbabura,Otavalo,Urbano,2017,0-2 meses,2,De 5 a 10 ,Contento(a),aumentado,No,Preferiria trabajar en el exterior por razones externas al trabajo,No,,No,No,No,No.
Masculino,De 35 a 39 ,Manabi,Chone,Urbano,Publico,En Ecuador en una universidad privada,Maestria,Maestria,Chile,Medio ambiente,2012,Convocatoria abierta,Pregrado - tercer nivel,Pregrado - tercer nivel,,Becario retornado,Manabi,Chone,Urbano,2016,+12 meses,3,De 1 a 3 ,Descontento(a) por ingresos bajos,permanecido iguales,No sa© aun,Preferiria trabajar en el exterior por razones externas al trabajo,Si,"En la pa¡gina web en el portal de  registro de titulos tengo duplicado mi titulacion ultima, la que fue financiada por la beca.",No,No,"Si, porque no encontra© trabajo en el plazo establecido",
Femenino,De 35 a 39 ,Azuay,Cuenca,Urbano,Fiscomisional,En Ecuador en una universidad privada,Doctorado - PhD,Doctorado PhD;Maestria,United States of America,Educacion,2012,Convocatoria abierta,Pregrado - tercer nivel,Maestria,,Becario retornado,Azuay,Cuenca,Urbano,2017,3-6 meses,5,No tenia experiencia,Descontento(a) por ingresos bajos;Descontento(a) por muchas horas de trabajo;Descontento(a) por horarios inconvenientes;Descontento(a) por sobrecarga de trabajo;Descontento(a) por no tener estabilidad;Descontento(a) por pocas posibilidades de progreso,disminuido,No sa© aun,Me quedaria en el Ecuador;Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,,Si,No,"Si, porque sali ma¡s de 30 dias al año del pias","Tuve que pagar casi 13 mil dolares por seguro de salud y la SENESCYT no me quiso reconocer el gasto y me hizo pedir un pra©stamo para poder ""devolver"" el dinero a pesar de que presente cartas de la universidad y recibos de pago del seguro ma©dico"
Masculino,De 35 a 39 ,Pichincha,Quito,Urbano,Publico,En Ecuador en una universidad publica,Maestria,Maestria,Colombia,Industria y produccion,2016,Cooperacion,Pregrado - tercer nivel,Pregrado - tercer nivel,,Becario retornado,Pichincha,Quito,Urbano,2018,3-6 meses,5,De 3 a 5 ,Descontento(a) por ingresos bajos;Descontento(a) por no tener estabilidad;Descontento(a) por pocas posibilidades de progreso,permanecido iguales,No,Me quedaria en el Ecuador,No,,No,No,No,El acceso a cargos publicos es ba¡sicamente solo con palancas y amistades mientras que en el sector privado prefieren recia©n graduados o egresados para pagarles menos
Masculino,De 35 a 39 ,Guayas,Guayaquil,Urbano,Privado,En el exterior con beca Senescyt,Doctorado - PhD,Doctorado PhD,Spain,Ciencias biologicas y afines,2010,Convocatoria abierta,Pregrado - tercer nivel,Pregrado - tercer nivel,,Becario retornado,Guayas,Guayaquil,Urbano,2015,3-6 meses,4,De 1 a 3 ,Contento(a);Descontento(a) por ingresos bajos;Descontento(a) por no tener estabilidad,aumentado,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores,Si,La liquidacion de mi contrato de beca,No,No,No,
Masculino,De 30 a 34 ,Pichincha,Quito,Rural,Publico,En Ecuador en una universidad publica,Maestria,Maestria,United Kingdom,Tecnologias de la informacion y la comunicacion,2013,Convocatoria abierta,,,,Becario retornado,Pichincha,Quito,Rural,2015,0-2 meses,,De 3 a 5 ,,aumentado,No sa© aun,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos;Preferiria trabajar en el exterior por razones externas al trabajo,,,No,No,No,
Masculino,De 30 a 34 ,Pichincha,Quito,Urbano,Publico,En Ecuador en una universidad publica,Pregrado - tercer nivel,Maestria,Spain,Electricidad y Energia,2012,Convocatoria abierta,Secundaria,Secundaria,,Becario retornado,Pichincha,Quito,Urbano,2015,+12 meses,3,De 1 a 3 ,Contento(a);Descontento(a) por sobrecarga de trabajo;Descontento(a) por no tener estabilidad;Descontento(a) por malas relaciones laborales,aumentado,No sa© aun,Me quedaria en el Ecuador;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,"No he recibido ni liquidacion, ni certificado de haber culminado mi periodo de compensacion ",No,No,"Si, porque no encontra© trabajo en el plazo establecido",
Masculino,De 30 a 34 ,El Oro,Machala,Urbano,Privado,En Ecuador en una universidad privada,Maestria,Maestria,Belgium,Medio ambiente,2014,Convocatoria abierta,Maestria,Secundaria,,Becario retornado,Azuay,Cuenca,Urbano,2019,3-6 meses,1,De 5 a 10 ,,,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,No,,No,No,"Si, porque no encontra© trabajo en el plazo establecido",
Masculino,De 30 a 34 ,Pichincha,Quito,Urbano,Publico,En Ecuador en una universidad publica,Maestria,Maestria,Chile,Ingenieria y profesiones afines,2013,Convocatoria abierta,Maestria,Pregrado - tercer nivel,,Becario retornado,Pichincha,Quito,Rural,2016,3-6 meses,4,De 1 a 3 ,Descontento(a) por pocas posibilidades de progreso,disminuido,Si,Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores,Si,Liquidacion ,No,No,No,Las ofertas laborales en el a¡rea educacion superior deben ser principalmente dadas a becarios senescyt por el mismo hecho de compensacion de estudios y no ha extranjeros 
Masculino,De 30 a 34 ,Pichincha,Quito,Urbano,Privado,En Ecuador en una universidad publica,Especializacion ma©dica,Especialidades ma©dicas,Brazil,Salud,2014,Convocatoria abierta,Secundaria,Secundaria,,Becario retornado,Pichincha,Quito,Urbano,2019,Todavia no consigue empleo,,No tenia experiencia,Descontento(a) por no tener estabilidad,disminuido,Si,Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,No,,No,No,No,"Falta de oportunidades de trabajo , desintera©s por parte de las autoridades al decir que ellos no les interesa la manera de compensacion que se realice en el pias "
Masculino,De 18 a 24 ,Los Rios,Puebloviejo,Rural,Publico,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,Netherlands,Ciencias sociales y del comportamiento,2017,GAR,No culmino la primaria,No culmino la primaria,,Becario todavia cursando los estudios con beca de Senescyt,,,,,,,,,,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos;Preferiria trabajar en el exterior por razones externas al trabajo,Si,Seguimiento acada©mico y financiero.,No,No,No,
Masculino,De 35 a 39 ,Tungurahua,Ambato,Rural,Publico,En Ecuador en una universidad publica,Doctorado - PhD,Doctorado PhD;Maestria,Spain,Tecnologias de la informacion y la comunicacion,2013,Convocatoria abierta,Primaria,Primaria,,Becario retornado,Pichincha,Quito,Urbano,2019,0-2 meses,3,De 3 a 5 ,Descontento(a) por las activ. que realiza;Descontento(a) por pocas posibilidades de progreso,aumentado,No sa© aun,Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,Compensacion,No,No,No,
